,Pclass,Age,Fare,is_child,family,is_alone,is_female,is_C,is_Q,is_S,Survived
0,3,34.5,7.8292,0,0,1,0,0,1,0,0
1,3,47.0,7.0,0,1,0,1,0,0,1,1
2,2,62.0,9.6875,0,0,1,0,0,1,0,0
3,3,27.0,8.6625,0,0,1,0,0,0,1,0
4,3,22.0,12.2875,0,2,0,1,0,0,1,1
5,3,14.0,9.225,1,0,1,0,0,0,1,0
6,3,30.0,7.6292,0,0,1,1,0,1,0,1
7,2,26.0,29.0,0,2,0,0,0,0,1,0
8,3,18.0,7.2292,0,0,1,1,1,0,0,1
9,3,21.0,24.15,0,2,0,0,0,0,1,0
10,3,33.5,7.8958,0,0,1,0,0,0,1,0
11,1,46.0,26.0,0,0,1,0,0,0,1,0
12,1,23.0,82.2667,0,1,0,1,0,0,1,1
13,2,63.0,26.0,0,1,0,0,0,0,1,0
14,1,47.0,61.175,0,1,0,1,0,0,1,1
15,2,24.0,27.7208,0,1,0,1,1,0,0,1
16,2,35.0,12.35,0,0,1,0,0,1,0,0
17,3,21.0,7.225,0,0,1,0,1,0,0,0
18,3,27.0,7.925,0,1,0,1,0,0,1,1
19,3,45.0,7.225,0,0,1,1,1,0,0,1
20,1,55.0,59.4,0,1,0,0,1,0,0,0
21,3,9.0,3.1708,1,1,0,0,0,0,1,0
22,1,15.0,31.6833,1,0,1,1,0,0,1,1
23,1,21.0,61.3792,0,1,0,0,1,0,0,1
24,1,48.0,262.375,0,4,0,1,1,0,0,1
25,3,50.0,14.5,0,1,0,0,0,0,1,0
26,1,22.0,61.9792,0,1,0,1,1,0,0,1
27,3,22.5,7.225,0,0,1,0,1,0,0,0
28,1,41.0,30.5,0,0,1,0,0,0,1,0
29,3,45.5,21.6792,0,2,0,0,1,0,0,0
30,2,50.0,26.0,0,1,0,0,0,0,1,0
31,2,24.0,31.5,0,2,0,0,0,0,1,0
32,3,33.0,20.575,0,3,0,1,0,0,1,0
33,3,31.5,23.45,0,3,0,1,0,0,1,0
34,1,30.0,57.75,0,1,0,0,1,0,0,1
35,3,18.5,7.2292,0,0,1,0,1,0,0,0
36,3,19.75,8.05,0,0,1,1,0,0,1,1
37,3,21.0,8.6625,0,0,1,1,0,0,1,1
38,3,25.0,9.5,0,0,1,0,0,0,1,0
39,3,32.0,56.4958,0,0,1,0,0,0,1,0
40,3,39.0,13.4167,0,1,0,0,1,0,0,0
41,1,40.0,26.55,0,0,1,0,0,0,1,0
42,3,41.0,7.85,0,0,1,0,0,0,1,0
43,2,30.0,13.0,0,0,1,1,0,0,1,1
44,1,45.0,52.5542,0,1,0,1,0,0,1,1
45,3,25.0,7.925,0,0,1,0,0,0,1,0
46,1,45.0,29.7,0,0,1,0,1,0,0,0
47,3,52.5,7.75,0,0,1,0,0,1,0,0
48,1,60.0,76.2917,0,0,1,1,1,0,0,1
49,3,36.0,15.9,0,2,0,1,0,0,1,1
50,1,24.0,60.0,0,1,0,0,0,0,1,0
51,2,27.0,15.0333,0,0,1,0,1,0,0,0
52,2,20.0,23.0,0,3,0,1,0,0,1,1
53,1,28.0,263.0,0,5,0,1,0,0,1,1
54,2,19.0,15.5792,0,0,1,0,1,0,0,0
55,3,10.0,29.125,1,5,0,0,0,1,0,0
56,3,35.0,7.8958,0,0,1,0,0,0,1,0
57,3,25.0,7.65,0,0,1,0,0,0,1,0
58,3,30.5,16.1,0,1,0,0,0,0,1,0
59,1,36.0,262.375,0,0,1,1,1,0,0,1
60,3,17.0,7.8958,0,0,1,0,0,0,1,0
61,2,32.0,13.5,0,0,1,0,0,0,1,0
62,3,18.0,7.75,0,0,1,0,0,0,1,0
63,3,22.0,7.725,0,0,1,1,0,1,0,1
64,1,13.0,262.375,1,4,0,0,1,0,0,1
65,2,15.5,21.0,0,0,1,1,0,0,1,1
66,3,18.0,7.8792,0,0,1,1,0,1,0,1
67,1,47.0,42.4,0,0,1,0,0,0,1,0
68,1,31.0,28.5375,0,0,1,0,1,0,0,0
69,1,60.0,263.0,0,5,0,1,0,0,1,1
70,3,24.0,7.75,0,0,1,1,0,1,0,1
71,3,21.0,7.8958,0,0,1,0,0,0,1,0
72,3,29.0,7.925,0,0,1,1,0,0,1,1
73,1,28.5,27.7208,0,0,1,0,1,0,0,0
74,1,35.0,211.5,0,0,1,1,1,0,0,1
75,1,32.5,211.5,0,0,1,0,1,0,0,1
76,3,43.75,8.05,0,0,1,0,0,0,1,0
77,1,55.0,25.7,0,2,0,1,0,0,1,1
78,2,30.0,13.0,0,0,1,0,0,0,1,0
79,3,24.0,7.75,0,0,1,1,0,1,0,1
80,3,6.0,15.2458,1,2,0,0,1,0,0,0
81,1,67.0,221.7792,0,1,0,0,0,0,1,0
82,1,49.0,26.0,0,0,1,0,0,0,1,0
83,3,43.5,7.8958,0,0,1,0,0,0,1,0
84,2,38.0,10.7083,0,0,1,0,0,1,0,0
85,3,32.5,14.4542,0,1,0,0,1,0,0,0
86,3,27.0,7.8792,0,0,1,1,0,1,0,1
87,3,18.0,8.05,0,0,1,1,0,0,1,1
88,3,10.0,7.75,1,0,1,1,0,1,0,1
89,2,2.0,23.0,1,2,0,0,0,0,1,0
90,3,22.0,13.9,0,1,0,1,0,0,1,1
91,3,24.5,7.775,0,0,1,0,0,0,1,0
92,1,27.0,52.0,0,3,0,1,0,0,1,1
93,3,26.0,8.05,0,0,1,0,0,0,1,0
94,1,25.0,26.0,0,0,1,0,1,0,0,0
95,3,25.0,7.7958,0,0,1,0,0,0,1,0
96,1,76.0,78.85,0,1,0,1,0,0,1,1
97,3,29.0,7.925,0,0,1,0,0,0,1,0
98,3,20.0,7.8542,0,0,1,1,0,0,1,1
99,3,33.0,8.05,0,0,1,0,0,0,1,0
100,1,43.0,55.4417,0,1,0,1,1,0,0,1
101,2,27.0,26.0,0,1,0,0,0,0,1,0
102,3,26.5,7.75,0,0,1,0,0,1,0,0
103,3,26.0,7.775,0,0,1,0,0,0,1,0
104,3,16.0,8.5167,0,2,0,1,1,0,0,1
105,3,28.0,22.525,0,0,1,0,0,0,1,0
106,3,21.0,7.8208,0,0,1,0,0,1,0,0
107,3,20.166666666666668,7.75,0,0,1,0,0,1,0,0
108,3,19.333333333333332,8.7125,0,0,1,0,0,0,1,0
109,2,18.5,13.0,0,0,1,0,0,0,1,0
110,2,41.0,15.0458,0,0,1,0,1,0,0,0
111,3,38.5,7.7792,0,0,1,1,0,1,0,1
112,1,36.0,31.6792,0,0,1,1,1,0,0,1
113,3,18.5,7.2833,0,0,1,1,0,1,0,1
114,1,63.0,221.7792,0,1,0,1,0,0,1,1
115,3,18.0,14.4542,0,1,0,0,1,0,0,0
116,3,9.5,6.4375,1,0,1,0,1,0,0,0
117,3,1.0,16.7,1,2,0,1,0,0,1,1
118,1,36.0,75.2417,0,0,1,0,1,0,0,0
119,2,29.0,26.0,0,1,0,1,0,0,1,1
120,2,12.0,15.75,1,0,1,1,0,0,1,1
121,3,23.5,7.75,0,1,0,0,0,1,0,0
122,1,35.0,57.75,0,1,0,1,1,0,0,1
123,3,28.0,7.25,0,0,1,0,0,0,1,0
124,3,22.5,7.75,0,0,1,0,0,1,0,0
125,3,17.0,16.1,0,1,0,1,0,0,1,1
126,3,22.0,7.7958,0,0,1,0,0,0,1,0
127,3,32.0,23.25,0,2,0,1,0,1,0,1
128,2,42.0,13.0,0,0,1,0,0,0,1,0
129,3,24.0,8.05,0,0,1,0,0,0,1,0
130,3,32.0,8.05,0,0,1,0,0,0,1,0
131,1,53.0,28.5,0,0,1,0,1,0,0,0
132,3,49.666666666666664,25.4667,0,4,0,1,0,0,1,0
133,3,46.333333333333336,6.4375,0,1,0,0,1,0,0,0
134,3,43.0,7.8958,0,0,1,0,0,0,1,0
135,3,24.0,7.8542,0,0,1,0,0,0,1,0
136,3,26.5,7.225,0,0,1,0,1,0,0,0
137,2,26.0,13.0,0,0,1,0,0,0,1,0
138,3,23.0,8.05,0,0,1,1,0,0,1,1
139,3,40.0,46.9,0,7,0,0,0,0,1,0
140,3,10.0,46.9,1,7,0,1,0,0,1,0
141,1,33.0,151.55,0,0,1,1,0,0,1,1
142,1,61.0,262.375,0,4,0,0,1,0,0,0
143,2,28.0,26.0,0,0,1,0,0,0,1,0
144,1,42.0,26.55,0,0,1,0,0,0,1,0
145,3,31.0,18.0,0,3,0,0,0,0,1,0
146,1,26.5,51.8625,0,0,1,0,0,0,1,0
147,3,22.0,8.05,0,0,1,0,0,0,1,0
148,1,26.0,26.55,0,0,1,0,0,0,1,0
149,2,30.0,26.0,0,2,0,0,0,0,1,0
150,1,23.0,83.1583,0,1,0,1,1,0,0,1
151,3,41.75,7.8958,0,0,1,0,1,0,0,0
152,3,60.5,35.6271884892086,0,0,1,0,0,0,1,0
153,3,36.0,12.1833,0,2,0,1,0,0,1,1
154,3,13.0,31.3875,1,6,0,0,0,0,1,0
155,3,24.0,7.55,0,0,1,0,0,0,1,0
156,1,29.0,221.7792,0,0,1,1,0,0,1,1
157,3,23.0,7.8542,0,0,1,1,0,0,1,1
158,1,42.0,26.55,0,0,1,0,0,0,1,0
159,3,26.0,13.775,0,2,0,1,0,0,1,1
160,3,16.5,7.7333,0,0,1,1,0,1,0,1
161,3,7.0,15.2458,1,2,0,0,1,0,0,0
162,2,26.0,13.5,0,0,1,1,0,0,1,1
163,3,33.5,7.0,0,0,1,0,0,0,1,0
164,2,41.0,13.0,0,0,1,0,0,0,1,0
165,3,26.0,22.025,0,2,0,1,0,0,1,1
166,1,48.0,50.4958,0,0,1,0,1,0,0,0
167,3,18.0,34.375,0,4,0,0,0,0,1,0
168,1,20.0,27.7208,0,0,1,1,1,0,0,1
169,3,22.0,8.9625,0,0,1,1,0,0,1,1
170,3,24.5,7.55,0,0,1,0,0,0,1,0
171,3,27.0,7.225,0,0,1,0,1,0,0,0
172,3,23.0,13.9,0,1,0,0,0,0,1,0
173,3,31.5,7.2292,0,0,1,0,1,0,0,0
174,3,40.0,31.3875,0,6,0,0,0,0,1,0
175,2,15.0,39.0,1,2,0,1,0,0,1,1
176,2,20.0,36.75,0,0,1,1,0,0,1,1
177,1,54.0,55.4417,0,1,0,0,1,0,0,0
178,2,36.0,39.0,0,3,0,1,0,0,1,1
179,1,64.0,83.1583,0,2,0,1,1,0,0,1
180,2,30.0,13.0,0,0,1,0,0,0,1,0
181,1,37.0,83.1583,0,2,0,0,1,0,0,0
182,1,18.0,53.1,0,1,0,1,0,0,1,1
183,3,22.5,7.75,0,0,1,0,0,1,0,0
184,1,27.0,247.5208,0,2,0,1,1,0,0,1
185,2,40.0,16.0,0,0,1,0,0,0,1,0
186,2,21.0,21.0,0,1,0,1,0,0,1,1
187,3,17.0,8.05,0,2,0,0,0,0,1,0
188,3,28.5,69.55,0,10,0,1,0,0,1,0
189,2,40.0,13.0,0,0,1,0,0,0,1,0
190,2,34.0,26.0,0,1,0,0,0,0,1,0
191,1,22.75,26.0,0,0,1,0,0,0,1,0
192,3,11.5,14.5,1,2,0,0,0,0,1,0
193,2,61.0,12.35,0,0,1,0,0,1,0,0
194,2,8.0,32.5,1,2,0,0,0,0,1,0
195,3,33.0,7.8542,0,0,1,0,0,0,1,0
196,1,6.0,134.5,1,2,0,0,1,0,0,1
197,3,18.0,7.775,0,0,1,1,0,0,1,1
198,2,23.0,10.5,0,0,1,0,0,0,1,0
199,3,15.443333333333332,8.1125,0,0,1,1,0,0,1,1
200,3,7.886666666666665,15.5,1,0,1,1,0,1,0,1
201,3,0.33,14.4,1,2,0,0,0,0,1,0
202,1,47.0,227.525,0,1,0,0,1,0,0,1
203,2,8.0,26.0,1,2,0,1,0,0,1,1
204,2,25.0,10.5,0,0,1,0,0,0,1,0
205,1,30.0,25.7417,0,0,1,0,1,0,0,0
206,3,35.0,7.75,0,0,1,1,0,1,0,1
207,2,24.0,10.5,0,0,1,0,0,0,1,0
208,1,33.0,27.7208,0,0,1,1,1,0,0,1
209,3,25.0,7.8958,0,0,1,0,0,0,1,0
210,3,32.0,22.525,0,0,1,0,0,0,1,0
211,3,24.5,7.05,0,0,1,0,0,0,1,0
212,2,17.0,73.5,0,0,1,0,0,0,1,0
213,2,60.0,26.0,0,1,0,1,0,0,1,1
214,3,38.0,7.775,0,6,0,1,0,0,1,0
215,1,42.0,42.5,0,0,1,0,0,0,1,0
216,3,49.5,7.8792,0,0,1,1,0,1,0,1
217,1,57.0,164.8667,0,2,0,0,0,0,1,0
218,1,50.0,211.5,0,2,0,1,1,0,0,1
219,3,40.0,8.05,0,0,1,0,0,0,1,0
220,2,30.0,13.8583,0,1,0,1,1,0,0,1
221,3,21.0,8.05,0,0,1,0,0,0,1,0
222,2,22.0,10.5,0,0,1,1,0,0,1,1
223,3,21.0,7.7958,0,0,1,0,0,0,1,0
224,1,53.0,27.4458,0,0,1,1,1,0,0,1
225,3,38.0,15.2458,0,2,0,1,1,0,0,1
226,3,23.0,7.7958,0,0,1,0,0,0,1,0
227,3,31.75,7.75,0,0,1,1,0,1,0,1
228,3,40.5,15.1,0,0,1,0,0,0,1,0
229,2,36.0,13.0,0,0,1,0,0,0,1,0
230,2,14.0,65.0,1,0,1,0,0,0,1,0
231,1,21.0,26.55,0,0,1,1,0,0,1,1
232,3,21.0,6.4958,0,1,0,0,0,0,1,0
233,3,30.0,7.8792,0,0,1,0,0,1,0,0
234,1,39.0,71.2833,0,1,0,0,1,0,0,0
235,3,20.0,7.8542,0,0,1,0,0,0,1,0
236,1,64.0,75.25,0,1,0,0,1,0,0,0
237,3,20.0,7.225,0,0,1,0,1,0,0,0
238,2,18.0,13.0,0,2,0,1,0,0,1,1
239,1,48.0,106.425,0,1,0,1,1,0,0,1
240,1,55.0,27.7208,0,0,1,1,1,0,0,1
241,2,45.0,30.0,0,2,0,1,0,0,1,1
242,1,45.0,134.5,0,2,0,0,1,0,0,0
243,3,43.666666666666664,7.8875,0,0,1,0,0,0,1,0
244,3,42.333333333333336,23.45,0,3,0,0,0,0,1,0
245,1,41.0,51.8625,0,1,0,0,0,0,1,0
246,2,22.0,21.0,0,0,1,1,0,0,1,1
247,2,42.0,32.5,0,2,0,0,0,0,1,0
248,2,29.0,26.0,0,1,0,1,0,0,1,1
249,3,14.96,14.4542,1,1,0,1,1,0,0,1
250,2,0.92,27.75,1,3,0,1,0,0,1,1
251,3,20.0,7.925,0,0,1,0,0,0,1,0
252,1,27.0,136.7792,0,1,0,0,1,0,0,1
253,3,24.0,9.325,0,0,1,0,0,0,1,0
254,3,32.5,9.5,0,0,1,0,0,0,1,0
255,3,31.0,7.55,0,0,1,0,0,0,1,0
256,3,29.5,7.75,0,0,1,0,0,1,0,0
257,3,28.0,8.05,0,0,1,0,0,0,1,0
258,2,19.0,13.0,0,0,1,1,0,0,1,1
259,3,21.0,7.775,0,0,1,0,0,0,1,0
260,3,36.5,17.4,0,1,0,0,0,0,1,0
261,3,21.0,7.8542,0,0,1,0,0,0,1,0
262,2,29.0,23.0,0,2,0,1,0,0,1,1
263,3,1.0,12.1833,1,2,0,1,0,0,1,1
264,2,30.0,12.7375,0,0,1,0,1,0,0,0
265,3,27.4,7.8958,0,0,1,0,0,0,1,0
266,1,24.8,0.0,0,0,1,0,0,0,1,0
267,3,22.2,7.55,0,0,1,0,0,0,1,0
268,3,19.6,8.05,0,0,1,1,0,0,1,1
269,3,17.0,8.6625,0,0,1,0,0,0,1,0
270,1,46.0,75.2417,0,0,1,0,1,0,0,0
271,3,36.0,7.75,0,0,1,0,0,1,0,0
272,1,26.0,136.7792,0,1,0,1,1,0,0,1
273,3,24.0,15.5,0,1,0,1,0,1,0,1
274,3,22.0,7.225,0,0,1,0,1,0,0,0
275,2,20.0,26.0,0,1,0,1,0,0,1,1
276,2,28.0,10.5,0,0,1,0,0,0,1,0
277,2,40.0,26.0,0,1,0,0,0,0,1,0
278,2,30.0,21.0,0,1,0,0,0,0,1,0
279,2,22.0,10.5,0,0,1,0,0,0,1,0
280,3,23.0,8.6625,0,0,1,1,0,0,1,1
281,3,0.75,13.775,1,2,0,0,0,0,1,0
282,3,4.875,7.75,1,0,1,1,0,1,0,1
283,3,9.0,15.2458,1,2,0,1,1,0,0,1
284,3,2.0,20.2125,1,2,0,1,0,0,1,1
285,3,36.0,7.25,0,0,1,0,0,0,1,0
286,3,30.0,7.25,0,0,1,0,0,0,1,0
287,1,24.0,82.2667,0,1,0,0,0,0,1,0
288,3,25.5,7.2292,0,0,1,0,1,0,0,0
289,3,27.0,8.05,0,0,1,0,0,0,1,0
290,1,28.5,39.6,0,0,1,0,0,0,1,0
291,3,30.0,6.95,0,0,1,1,0,1,0,1
292,3,41.5,7.2292,0,0,1,0,1,0,0,0
293,1,53.0,81.8583,0,2,0,0,0,0,1,0
294,3,36.0,9.5,0,0,1,0,0,0,1,0
295,3,26.0,7.8958,0,0,1,0,0,0,1,0
296,2,1.0,41.5792,1,3,0,1,1,0,0,1
297,3,15.5,21.6792,0,2,0,0,1,0,0,0
298,1,30.0,45.5,0,0,1,0,0,0,1,0
299,3,29.0,7.8542,0,0,1,0,0,0,1,0
300,3,32.0,7.775,0,0,1,0,0,0,1,0
301,2,37.5,15.0458,0,0,1,0,1,0,0,0
302,2,43.0,21.0,0,1,0,0,0,0,1,0
303,3,24.0,8.6625,0,0,1,0,0,0,1,0
304,3,44.0,7.75,0,0,1,1,0,1,0,1
305,1,64.0,26.55,0,2,0,1,0,0,1,1
306,1,30.0,151.55,0,3,0,0,0,0,1,0
307,3,0.83,9.35,1,1,0,0,0,0,1,0
308,1,55.0,93.5,0,2,0,0,0,0,1,0
309,3,45.0,14.1083,0,1,0,1,0,0,1,1
310,3,18.0,8.6625,0,0,1,0,0,0,1,0
311,3,22.0,7.225,0,0,1,0,1,0,0,0
312,3,29.5,7.575,0,0,1,0,0,0,1,0
313,3,37.0,7.75,0,0,1,1,0,1,0,1
314,1,55.0,135.6333,0,0,1,1,1,0,0,1
315,3,17.0,7.7333,0,0,1,1,0,1,0,1
316,1,57.0,146.5208,0,1,0,0,1,0,0,0
317,2,19.0,10.5,0,0,1,0,0,0,1,0
318,3,27.0,7.8542,0,0,1,0,0,0,1,0
319,2,22.0,31.5,0,2,0,0,0,0,1,0
320,3,26.0,7.775,0,0,1,0,0,0,1,0
321,3,25.0,7.2292,0,0,1,0,1,0,0,0
322,2,26.0,13.0,0,0,1,0,0,0,1,0
323,1,33.0,26.55,0,0,1,0,0,0,1,0
324,1,39.0,211.3375,0,0,1,1,0,0,1,1
325,3,23.0,7.05,0,0,1,0,0,0,1,0
326,2,12.0,39.0,1,3,0,1,0,0,1,1
327,1,46.0,79.2,0,0,1,0,1,0,0,0
328,2,29.0,26.0,0,1,0,0,0,0,1,0
329,2,21.0,13.0,0,0,1,0,0,0,1,0
330,2,48.0,36.75,0,2,0,1,0,0,1,1
331,1,39.0,29.7,0,0,1,0,1,0,0,0
332,3,29.0,7.225,0,0,1,0,1,0,0,0
333,3,19.0,15.7417,0,2,0,1,1,0,0,1
334,3,27.0,7.8958,0,0,1,0,0,0,1,0
335,1,30.0,26.0,0,0,1,0,0,0,1,0
336,2,32.0,13.0,0,0,1,0,0,0,1,0
337,3,39.0,7.2292,0,2,0,0,1,0,0,0
338,2,25.0,31.5,0,0,1,0,0,0,1,0
339,3,21.5,7.2292,0,0,1,0,1,0,0,0
340,2,18.0,10.5,0,0,1,0,0,0,1,0
341,3,32.0,7.5792,0,0,1,0,0,0,1,0
342,3,45.0,69.55,0,10,0,0,0,0,1,0
343,1,58.0,512.3292,0,1,0,1,1,0,0,1
344,3,37.0,14.5,0,2,0,0,0,0,1,0
345,3,16.0,7.65,0,0,1,1,0,0,1,1
346,2,26.0,13.0,0,0,1,0,0,0,1,0
347,3,38.0,7.2292,0,0,1,1,1,0,0,1
348,2,24.0,13.5,0,0,1,0,0,0,1,0
349,2,31.0,21.0,0,0,1,1,0,0,1,1
350,1,45.0,63.3583,0,1,0,1,1,0,0,1
351,2,25.0,10.5,0,0,1,0,0,0,1,0
352,2,18.0,73.5,0,0,1,0,0,0,1,0
353,2,49.0,65.0,0,3,0,0,0,0,1,0
354,3,0.17,20.575,1,3,0,1,0,0,1,1
355,1,50.0,26.0,0,0,1,0,0,0,1,0
356,1,59.0,51.4792,0,2,0,1,0,0,1,1
357,3,49.333333333333336,7.8792,0,0,1,0,0,0,1,0
358,3,39.66666666666667,7.75,0,0,1,0,0,1,0,0
359,3,30.0,15.55,0,1,0,1,0,0,1,1
360,3,14.5,69.55,1,10,0,0,0,0,1,0
361,2,24.0,37.0042,0,2,0,1,1,0,0,1
362,2,31.0,21.0,0,0,1,1,0,0,1,1
363,3,27.0,8.6625,0,0,1,0,0,0,1,0
364,1,25.0,55.4417,0,1,0,1,1,0,0,1
365,3,24.0,69.55,0,10,0,1,0,0,1,0
366,3,23.0,14.4583,0,1,0,0,1,0,0,0
367,3,22.0,39.6875,0,0,1,1,0,0,1,1
368,1,45.0,59.4,0,1,0,1,1,0,0,1
369,2,29.0,13.8583,0,0,1,0,1,0,0,0
370,2,21.0,11.5,0,1,0,0,0,0,1,0
371,1,31.0,134.5,0,0,1,1,1,0,0,1
372,1,49.0,0.0,0,0,1,0,0,0,1,0
373,2,44.0,13.0,0,0,1,0,0,0,1,0
374,1,54.0,81.8583,0,2,0,1,0,0,1,1
375,1,45.0,262.375,0,0,1,1,1,0,0,1
376,3,22.0,8.6625,0,2,0,1,0,0,1,1
377,2,21.0,11.5,0,0,1,0,0,0,1,0
378,1,55.0,50.0,0,0,1,0,0,0,1,0
379,3,5.0,31.3875,1,6,0,0,0,0,1,0
380,3,15.5,7.75,0,0,1,0,0,1,0,0
381,3,26.0,7.8792,0,0,1,0,0,1,0,0
382,3,22.5,14.5,0,0,1,1,0,0,1,1
383,3,19.0,16.1,0,1,0,1,0,0,1,1
384,2,21.5,12.875,0,0,1,0,0,0,1,0
385,2,24.0,65.0,0,3,0,1,0,0,1,1
386,3,24.0,7.775,0,0,1,0,0,0,1,0
387,2,57.0,13.0,0,0,1,0,0,0,1,0
388,3,21.0,7.75,0,0,1,0,0,1,0,0
389,3,6.0,21.075,1,4,0,0,0,0,1,0
390,1,23.0,93.5,0,0,1,0,0,0,1,0
391,1,51.0,39.4,0,1,0,1,0,0,1,1
392,3,13.0,20.25,1,2,0,0,0,0,1,0
393,2,47.0,10.5,0,0,1,0,0,0,1,0
394,3,29.0,22.025,0,4,0,0,0,0,1,0
395,1,18.0,60.0,0,1,0,1,0,0,1,1
396,3,24.0,7.25,0,0,1,0,0,1,0,0
397,1,48.0,79.2,0,2,0,1,1,0,0,1
398,3,22.0,7.775,0,0,1,0,0,0,1,0
399,3,31.0,7.7333,0,0,1,0,0,1,0,0
400,1,30.0,164.8667,0,0,1,1,0,0,1,1
401,2,38.0,21.0,0,1,0,0,0,0,1,0
402,1,22.0,59.4,0,1,0,1,1,0,0,1
403,1,17.0,47.1,0,0,1,0,0,0,1,0
404,1,43.0,27.7208,0,1,0,0,1,0,0,0
405,2,20.0,13.8625,0,0,1,0,1,0,0,0
406,2,23.0,10.5,0,1,0,0,0,0,1,0
407,1,50.0,211.5,0,2,0,0,1,0,0,0
408,3,26.5,7.7208,0,0,1,1,0,1,0,1
409,3,3.0,13.775,1,2,0,1,0,0,1,1
410,3,20.0,7.75,0,0,1,1,0,1,0,1
411,1,37.0,90.0,0,1,0,1,0,1,0,1
412,3,28.0,7.775,0,0,1,1,0,0,1,1
413,3,33.5,8.05,0,0,1,0,0,0,1,0
414,1,39.0,108.9,0,0,1,1,1,0,0,1
415,3,38.5,7.25,0,0,1,0,0,0,1,0
416,3,38.5,8.05,0,0,1,0,0,0,1,0
417,3,38.5,22.3583,0,2,0,0,1,0,0,0
